,speaker_id,gender,utterance_id,language,raw_text,full_audio_file,original_data_split,region,duration,start,end,standardized_text,transcription
0,nbtale_p2_g13_f0_1_t,female,nbtale_p2_g13_f0_1_t-a0001,nb-NO,Har du noen gang sett <sil> stokkmaur <fp> også kalt <exhale> <sil> hestemaur <inhale> plageånden som liker å spise seg inn i treverket,/media/pers/storage/storage/SCRIBE_dataset_tmp/data/nbtale/shure_2/part_2/group_13/p2_g13_f0_1_t-a0001.wav,nb_tale_part_2,foreign,13.281,0.0,13.281,har du noen gang sett stokkmaur også kalt hestemaur plageånden som liker å spise seg inn i treverket,har du no en gang sitt stockmaor og så kalt hestemaur plage onden samlikere o spise seg inn i treverket
1,nbtale_p2_g13_f0_1_t,female,nbtale_p2_g13_f0_1_t-b2176,nb-NO,Gymcupen <sil> er <sil> en <sil> enkeltstående konkurranse <inhale> som skiller seg fra <fp> tradisjonell <sil> turn,/media/pers/storage/storage/SCRIBE_dataset_tmp/data/nbtale/shure_2/part_2/group_13/p2_g13_f0_1_t-b2176.wav,nb_tale_part_2,foreign,11.313,0.0,11.313,gymcupen er en enkeltstående konkurranse som skiller seg fra tradisjonell turn,gimkoppen er en enkeltstående konkurranse samskilder seg fra tradusjonell ton
2,nbtale_p2_g13_f0_1_t,female,nbtale_p2_g13_f0_1_t-b2215,nb-NO,Også i serieåpningen mot Watford <inhale> var Wimbledon <sil> uheldige <sil> med dommeren,/media/pers/storage/storage/SCRIBE_dataset_tmp/data/nbtale/shure_2/part_2/group_13/p2_g13_f0_1_t-b2215.wav,nb_tale_part_2,foreign,11.438,0.0,11.438,også i serieåpningen mot watford var wimbledon uheldige med dommeren,også i serieåpenningen mot hvert førd var vimbilden oheldige med dummeren
3,nbtale_p2_g13_f0_1_t,female,nbtale_p2_g13_f0_1_t-b2258,nb-NO,Jeg oppfattet det <sil> ikke som buing <inhale> sier <sil> Solskjær,/media/pers/storage/storage/SCRIBE_dataset_tmp/data/nbtale/shure_2/part_2/group_13/p2_g13_f0_1_t-b2258.wav,nb_tale_part_2,foreign,9.125,0.0,9.125,jeg oppfattet det ikke som buing sier solskjær,jeg oppfattet det ikke sam boing sier solskjær
4,nbtale_p2_g13_f0_1_t,female,nbtale_p2_g13_f0_1_t-b2368,nb-NO,Forsvarets <fp> logistikkorganisasjon <inhale> FLO kan gå på ny økonomismell i to tusen og fem <inhale> sier økonomioffiser,/media/pers/storage/storage/SCRIBE_dataset_tmp/data/nbtale/shure_2/part_2/group_13/p2_g13_f0_1_t-b2368.wav,nb_tale_part_2,foreign,14.188,0.0,14.188,forsvarets logistikkorganisasjon flo kan gå på ny økonomismell i to tusen og fem sier økonomioffiser,forsvarets logistikkorganisasjon flo kan gå på ni økonomismer i totusenogfem sier økonomioffiserevv
5,nbtale_p2_g13_f0_1_t,female,nbtale_p2_g13_f0_1_t-b2443,nb-NO,Her finner du en <fp> seven eleven <sil> <vowel> kiosk <inhale> politistasjon <fp> skole <inhale> og et lite sykehus,/media/pers/storage/storage/SCRIBE_dataset_tmp/data/nbtale/shure_2/part_2/group_13/p2_g13_f0_1_t-b2443.wav,nb_tale_part_2,foreign,10.75,0.0,10.75,her finner du en seven eleven eee kiosk politistasjon skole og et lite sykehus,her finner du en cven eleven kjøsk politistasjon skole og et lite sikehos
6,nbtale_p2_g13_f0_1_t,female,nbtale_p2_g13_f0_1_t-b2468,nb-NO,Sangene som er kjøpt via iTunes <sil> kan nemlig bare spilles <fp> av på <sil> iPod,/media/pers/storage/storage/SCRIBE_dataset_tmp/data/nbtale/shure_2/part_2/group_13/p2_g13_f0_1_t-b2468.wav,nb_tale_part_2,foreign,9.719,0.0,9.719,sangene som er kjøpt via itunes kan nemlig bare spilles av på ipod,sangene som er skjåpt via itons kan nemlig bare spilles apå ipord
7,nbtale_p2_g13_f0_1_t,female,nbtale_p2_g13_f0_1_t-b2609,nb-NO,Påtalemyndigheten <fp> har en negativ holdning til <fp> Mæland-utvalgets <sil> forslag <sil> om <inhale> regelendringer for å unngå <fp> justismord,/media/pers/storage/storage/SCRIBE_dataset_tmp/data/nbtale/shure_2/part_2/group_13/p2_g13_f0_1_t-b2609.wav,nb_tale_part_2,foreign,14.875,0.0,14.875,påtalemyndigheten har en negativ holdning til mæland-utvalgets forslag om regelendringer for å unngå justismord,påtalemyndighetens har en negativ holdning til mælerd-utvalgets forslag om regelendringer for å unngå justismord
8,nbtale_p2_g13_f0_1_t,female,nbtale_p2_g13_f0_1_t-b2648,nb-NO,Gjenta <sil> ut <sil> inn <fp> ut <fp> inn,/media/pers/storage/storage/SCRIBE_dataset_tmp/data/nbtale/shure_2/part_2/group_13/p2_g13_f0_1_t-b2648.wav,nb_tale_part_2,foreign,6.156,0.0,6.156,gjenta ut inn ut inn,gjenta ot innot inn
9,nbtale_p2_g13_f0_1_t,female,nbtale_p2_g13_f0_1_t-b2704,nb-NO,Jeg regnet egentlig med at <exhale> flere hadde tipset om dette <sil> sier Keim,/media/pers/storage/storage/SCRIBE_dataset_tmp/data/nbtale/shure_2/part_2/group_13/p2_g13_f0_1_t-b2704.wav,nb_tale_part_2,foreign,9.219,0.0,9.219,jeg regnet egentlig med at flere hadde tipset om dette sier keim,jeg regnet egentlig med at flere hadde tipset om dette sier kaim
