speaker_id,gender,utterance_id,language,raw_text,full_audio_file,original_data_split,region,duration,start,end,utterance_audio_file,standardized_text
rundkast_speaker_64,female,rundkast_1809,nn-NO,så er vi enige om [e] langt det meste . [b],/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,west,3.487000000000002,21.604,25.091,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_21604_25091.wav,så er vi enige om eee langt det meste
rundkast_speaker_64,female,rundkast_1810,nn-NO,"dei er i alle fall einige om meir enn dei har vore før ,",/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,west,2.933,25.091,28.024,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_25091_28024.wav,dei er i alle fall einige om meir enn dei har vore før
rundkast_speaker_64,female,rundkast_1811,nn-NO,[i] skal vi tru statssekretæren med ansvar for nord-områder .,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,west,3.315999999999999,28.024,31.34,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_28024_31340.wav,skal vi tru statssekretæren med ansvar for nord-områder
rundkast_speaker_64,female,rundkast_1812,nn-NO,"statssekretæren legg likevel til , [i] at når det gjeld grenser",/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,west,3.6960000000000015,31.34,35.036,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_31340_35036.wav,statssekretæren legg likevel til at når det gjeld grenser
rundkast_speaker_78,male,rundkast_2743,nn-NO,"[i] men så veldig overraskende er det ikke , mener vår kommentator Erling Legreid . [b]",/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,4.989000000000033,2966.644,2971.633,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_2966644_2971633.wav,men så veldig overraskende er det ikke mener vår kommentator erling legreid
rundkast_speaker_78,male,rundkast_2744,nn-NO,pryl har vore ein vanleg straffe-metode i dei fleste kulturar .,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,3.871000000000095,2971.633,2975.504,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_2971633_2975504.wav,pryl har vore ein vanleg straffe-metode i dei fleste kulturar
rundkast_speaker_78,male,rundkast_2745,nn-NO,[i] både offentlig og privat .,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,2.0909999999998945,2975.504,2977.595,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_2975504_2977595.wav,både offentlig og privat
rundkast_speaker_78,male,rundkast_2746,nn-NO,[i] den katolske kyrkja dømde ein gong ein engelsk konge,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,4.028999999999996,2977.595,2981.624,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_2977595_2981624.wav,den katolske kyrkja dømde ein gong ein engelsk konge
rundkast_speaker_78,male,rundkast_2747,nn-NO,[i] til pisking for horeri .,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,2.5579999999999927,2981.624,2984.182,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_2981624_2984182.wav,til pisking for horeri
rundkast_speaker_78,male,rundkast_2748,nn-NO,[i] men han let ein av sine hoffmenn ta straffa for seg .,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,3.716000000000349,2984.182,2987.898,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_2984182_2987898.wav,men han let ein av sine hoffmenn ta straffa for seg
rundkast_speaker_78,male,rundkast_2749,nn-NO,[i] medan han sjøl kosar seg med eit glas vin og såg på .,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,4.036000000000058,2987.898,2991.934,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_2987898_2991934.wav,medan han sjøl kosar seg med eit glas vin og såg på
rundkast_speaker_78,male,rundkast_2750,nn-NO,[i] i min barndom var det mange barn som fekk juling .,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,4.255999999999858,2991.934,2996.19,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_2991934_2996190.wav,i min barndom var det mange barn som fekk juling
rundkast_speaker_78,male,rundkast_2751,nn-NO,dei vart prylt så blodet rann for bagatellar .,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,3.083000000000084,2996.19,2999.273,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_2996190_2999273.wav,dei vart prylt så blodet rann for bagatellar
rundkast_speaker_78,male,rundkast_2752,nn-NO,[i] eg hugsar at to søsken alltid var blå og gule på armane sine,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,4.90099999999984,2999.273,3004.174,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_2999273_3004174.wav,eg hugsar at to søsken alltid var blå og gule på armane sine
rundkast_speaker_78,male,rundkast_2753,nn-NO,[i] fordi faren klaup dei når dei var urolege ved matbordet .,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,4.369000000000142,3004.174,3008.543,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_3004174_3008543.wav,fordi faren klaup dei når dei var urolege ved matbordet
rundkast_speaker_78,male,rundkast_2754,nn-NO,[b] [i] og pryla barn var ei plikt og ein dyd .,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,4.139999999999873,3008.543,3012.683,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_3008543_3012683.wav,og pryla barn var ei plikt og ein dyd
rundkast_speaker_78,male,rundkast_2755,nn-NO,"[i] når menn prylte kjerring og kjærestar ,",/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio/N2_051113_NRK_SDA_NO.wav,rundkast,east,3.0,3012.683,3015.683,/media/pers/storage/storage/SCRIBE_dataset_tmp/rundkast/audio_segments/N2_051113_NRK_SDA_NO_3012683_3015683.wav,når menn prylte kjerring og kjærestar
